experiment

dia 7

espesor 100 //um

rata 1

area de lesion 1615594.667 //um2

celulas
x(um)	y(um)	Tipo	Pb
2822.555	1742	3	0.5
2592	1895.333	3	0.3
2786.889	1993.889	3	0.3
2705.111	2291.556	3	0.7
2855.555	2428.444	3	0.7
2862.889	2407.778	3	0.5
3121	2267.222	3	0.5
3119.444	2566.778	3	0.3
3164.444	2874.889	3	0.7
3031.556	2969.111	3	0.5
3273.222	3021.556	3	0.5
3897.222	3460	3	0.5
4089.667	3426.667	3	0.5
4199.667	3148.889	3	0.5
4402.778	3184.889	3	0.5
4580	3164.889	3	0.5
4617	3119.889	3	0.5
4708.667	3150.222	3	0.5
4692	3159	3	0.3
4636.222	3205.889	3	0.3
4590.667	2977.889	3	0.7
4592.889	2959	3	0.7
4660.222	2969.889	3	0.5
4528.222	2726.778	3	0.5
2389.889	1405.222	3	0.3
2820.778	1599.889	3	0.3
2945.222	1512	3	0.5
2994	1341.778	3	0.5
2660.889	1851.778	3	0.5
2375.444	2311.778	3	0.5
3202.667	1636.111	3	0.7
3170.667	1639.667	3	0.7
3519.556	1578.111	3	0.5
3301.556	1741.444	3	0.3
2782.222	1669	3	0.5
2921.445	1717.444	3	0.5
3794.444	3573.889	3	0.5
3777.889	3518.778	3	0.5
3838.111	3530.556	3	0.5
3691.556	3621.222	3	0.3
3858.556	3570.111	3	0.3
3997.889	3803.222	3	0.3
4084.556	3592.222	3	0.7
4070.778	3605.556	3	0.7
4558	3240.778	3	0.5
4662.889	3123.222	3	0.5
4680.889	3054.778	3	0.5
4777.889	2907.111	3	0.5
4488.222	2842.444	3	0.5
4463	2771.667	3	0.5
4389.667	2834.111	3	0.5
4425.889	2760.556	3	0.5
4348.333	2811.222	3	0.5
4540.444	2775.556	3	0.5
4360.444	2574.222	3	0.5
3973.111	1785.444	3	0.5
3827.778	1732.556	3	0.5
3807.889	1783.778	3	0.5

limite de lesion
x(um)	y(um)
336	2023.333333
383	1985.333333
473	1961.333333
574	1926.333333
627	1916.333333
673	1915.333333
778	1998.333333
838	2057.333333
842	1992.333333
917	1972.333333
944	1881.333333
954	1896.333333
1043	1791.333333
1132	1678.333333
1185	1600.333333
1257	1611.333333
1349	1586.333333
1438	1652.333333
1528	1684.333333
1606	1704.333333
1683	1674.333333
1711	1597.333333
1720	1537.333333
1807	1547.333333
1905	1528.333333
1981	1530.333333
2038	1510.333333
2095	1446.333333
2138	1394.333333
2149	1376.333333

limite superior
x(um)	y(um)
2178	1348.333333
2228	1322.333333
2263	1308.333333
2313	1311.333333
2397	1344.333333
2486	1385.333333
2579	1373.333333
2669	1315.333333
2720	1235.333333
2778	1203.333333
2825	1217.333333
2870	1194.333333
2915	1219.333333
2977	1230.333333
3052	1221.333333
3087	1259.333333
3205	1296.333333
3330	1308.333333
3368	1339.333333
3452	1330.333333
3496	1354.333333
3519	1388.333333
3556	1418.333333
3573	1406.333333
3639	1465.333333
3673	1473.333333
3705	1495.333333
3724	1553.333333
3761	1585.333333
3814	1602.333333
3841	1600.333333
3875	1629.333333
3917	1658.333333
3939	1692.333333
3987	1705.333333
4025	1749.333333
4078	1799.333333
4114	1839.333333
4142	1873.333333
4179	1918.333333
4194	1960.333333
4221	2000.333333
4263	2047.333333
4292	2106.333333
4317	2153.333333
4338	2197.333333
4380	2212.333333
4369	2234.333333
4379	2272.333333
4416	2302.333333
4459	2316.333333
4492	2371.333333
4528	2397.333333
4537	2448.333333
4592	2497.333333
4613	2581.333333
4652	2629.333333
4690	2686.333333
4766	2740.333333
4822	2818.333333
4849	2891.333333
4876	2969.333333
4886	3047.333333
4894	3079.333333
4925	3166.333333
4943	3200.333333

limite posterior
x(um)	y(um)
4918	3223.666667
4174	3640.666667
4210	3711.666667
3721	3982.666667

limite inferrior
x(um)	y(um)
3721	3982.666667
3591	3819.666667
3578.666667	3761.333333
3452.666667	3583.333333
3324.666667	3361.333333
3278.666667	3221.333333
3152.666667	3085.333333
3031	3074.333333
2847	2941
2657.666667	2874.333333
2367	2810.333333
2271	2792.666667
2159	2780.666667
