foto 3
pin 1
X (um)	Y (um)
619.33	613.33

pin 2
X (um)	Y (um)
759.33	110.67

celulas
X (um)	Y (um)	TIPO	PB
limite foto
X(um)	Y(um)
363	171
476.667	470
578.667	417.667
759.667	313
853	254.667
852.333	163

limite tejido 

limite lesion

vaso
X (um)	Y (um)
463.667	171.111
465.667	174.889
466.778	179.333
468.333	188.889
470.556	203.333
470.556	210.444
473.444	221.778
474.778	235.333
476.556	247.111
475.222	256.444
476.778	272.444
475.444	283.111
472.778	299.111
467.667	307.778
460.778	319.556
452.111	330.667
443.889	341.556
433.889	353.111
431.444	351.111
431.222	348
434.333	345.111
438.556	340
443	334.667
446.556	330.444
451.444	323.111
453.889	318.667
460.778	307.556
466.111	296.444
468.333	288.444
469.667	278
469.444	266.667
470.111	256.889
469	247.333
467.889	238.889
466.778	231.333
465.444	225.778
464.778	219.667
463.889	210.111
462.556	197.667
461.444	188.111
458.333	180.556
454.333	170.333
459.222	170.111

foto 7
pin 3
X (um)	Y (um)	
471.33	516.00

pin 5
X (um)	Y (um)	
101.67	60.33

pin 10
X (um)	Y (um)	
821.33	268.00

celulas
X (um)	Y (um)	TIPO	PB
804.222	471.889	5	1
821.556	541.667	5	1
758.889	485.333	5	0.3
804.667	438.667	5	0.3
734.889	378.667	5	0.5
800.667	419.111	4	1
796.667	481.333	4	1
745.556	443.556	4	1
815.333	509.778	4	1
850.444	522.222	4	1
748.667	388.556	4	1
806.889	245.778	4	1
742.444	78.222	4	1
746.889	44.889	4	0.5
818.889	71.556	4	0.3
839.778	175.778	4	0.3
764.667	190.444	4	0.5
804.222	299.111	4	0.7
740.667	299	4	0.3
825.111	385.222	3	1
801.556	338.111	3	1
759.333	345.222	3	1
733.111	270.556	3	1
831.333	290.444	3	1
742	208.111	3	1
827.778	211.667	3	1
750	116	3	1
795.778	119.556	3	0.3
790.889	89.333	3	0.7
785.111	176	3	0.7
764.667	281.333	3	0.5
797.111	398	3	0.3
830.889	235.778	3	0.5
782.889	205.111	3	0.3
839.778	449.222	3	0.5
735.778	387	3	0.5
827.444	48.444	1	1
836.333	131	1	1
828.778	115.444	1	1
840.778	316.444	1	1
816.778	361	1	1
846.778	435.556	1	1
770.333	535.111	3	0.3
738.778	532.222	3	0.5
833	498	3	0.7
830.111	487.556	3	0.7
822.778	413.556	3	0.3
848.778	328	3	0.5
768.111	265.444	3	1
751.889	23.111	3	1
819	151.333	3	1
845.889	366.889	3	1
814.556	444.333	3	1
763.222	510.667	3	1

limite foto
X(um)	Y(um)
725.889	5.556
729.444	549
852.333	546.667
853	0

limite tejido 

limite lesion

vaso
X (um)	Y (um)
738.333	331.556
740.111	338
745	340.667
758.111	340.222
766.111	331.556
772.778	326
769.444	318.889
758.556	318.889
748.556	320.667
739.444	327.778

vaso
X (um)	Y (um)
754.556	395.778
755.889	405.111
757	408.222
761.889	412.222
770.333	413.333
778.333	412.889
780.333	401.111
779.222	394.889
772.556	389.333
764.778	388.222
756.778	388.889

foto 8
pin 2
X (um)	Y (um)	
634.33	44.00

pin 5
X (um)	Y (um)	
95.00	620.33

pin 6
X (um)	Y (um)
841.11	175.00

celulas
X (um)	Y (um)	TIPO	PB
744	68	3	1
771.333	72	3	1
765.667	85.667	3	1
745.333	133.333	3	1
741	52.333	3	1
756.667	52.333	3	1
754	187	3	1
741	224.667	3	1
752.667	275.667	3	1
754.333	319.667	3	1
821	251.667	3	1
786.333	224	4	1
758	399.667	4	1
788.333	433	4	1
732.667	100.667	4	1
808	140.333	3	1
782	124	3	1
811	129.667	3	1
815.333	113.667	3	1
763.333	43.333	3	1
744.333	34.333	3	1
738	551.667	3	1
726.333	512.333	3	1
825.333	396.333	3	0.3
772.667	259.667	3	0.5
832.667	158	3	0.3
804.667	178.667	3	0.3
773.667	169.667	3	0.3
776.667	462	3	0.5
740.667	411	3	1
784	489.333	1	1
798	474	1	1
830.667	492	1	1
803.667	523	1	1
829	362	1	1
775.667	343.333	1	1
817	234.333	1	1
801	288.667	1	1
750.667	121.333	1	1
759	132.667	1	1
821.333	322.667	1	1
811.333	354	1	1
839.667	472.667	1	1
731.667	540.667	1	1
772.667	428.667	1	1
724.667	442.333	1	1
818.667	143	3	1
772	101.667	3	1
730.667	252	3	1
789.333	62.667	3	1
733	141.667	3	1
799.333	419.667	3	1
743	291	3	1
733.667	313	3	1
735.333	403.333	3	1
771.333	374.333	3	1
729.667	18.667	3	1

limite foto
X(um)	Y(um)
726.667	13.333
723	561
852.333	561.667
853	0
825	6.333
786.333	14.333
759.667	21.667

limite tejido 
X (um)	Y (um)
734.667	19
745	21.667
751.667	24.667
761	21.667
771	24
777.667	14.333
786.333	14.333
794.667	14
804	15.667
817.667	12.333
825	5
833.667	2

limite lesion

vaso
X (um)	Y (um)
851.444	3.556
847.889	6.444
841.222	10.222
833.889	13.111
823.222	17.778
812.556	26.222
804.556	32.889
795.889	45.778
795.444	60.222
797.222	66.667
803.667	77.556
815	86.444
823.667	89.778
827.889	99.556
841	102.222
848.778	102.667
853	7.778
852.778	13.333
853	21.556
852.778	27.778
853	44.667
853	65.778
853	87.333
853	102.667

foto 9
pin 6
X (um)	Y (um)	
91.56	358.78

pin 7
X (um)	Y (um)	
449.89	496.89

pin 8
X (um)	Y (um)	
804.00	356.00

celulas
X (um)	Y (um)	TIPO	PB
241.333	163.333	4	1
183.333	187.333	4	1
158	187	4	1
166.333	225.667	4	1
155	242.333	4	1
277.333	189.333	4	1
267	204	4	1
218.333	257	4	1
308	206	4	1
317.667	160	4	1
328.667	173.333	4	1
516	140.667	4	1
497.667	174.667	4	1
459.667	140	4	1
829.333	140	4	1
823	136	4	1
825	119.667	4	1
