experiment

dia 0

espesor 100 //um



foto 3

foto 2

ancho lesion  0 // um

pin 1
X (um)	Y (um)
146.333	562.333

pin 8
X (um)	Y (um)
169.667	474.333

pin 10
X (um)	Y (um)
157.333	107.333

celulas
X (um)	Y (um)	TIPO	PB
X (um)	Y (um)
852.889	106.222
852	115.556
852	128
852.889	137.778
852.444	148.889
852.444	158.222
852.444	172.444
852	185.778
852.889	201.778
852.444	213.778
851.556	227.111
850.222	243.556
852.444	261.778
851.556	275.556
852.889	288.889
852.444	297.333
852.444	316.333
852.444	331
852.444	343
852.889	364.778
852.889	378.111
852.444	387.444
852	398.111
852.889	412.778
852.889	424.778
852	435.444
852.444	448.333
850.222	466.111
852.889	484.333
852.444	493.222
852.889	514
852.889	524.667
852.444	541.556
852.444	554
852	569.111
852.444	577.111
852	586
852.889	594
852.889	606
852.444	618.889
852.444	630.444
851.556	637.556

limite foto
X (um)	Y (um)
842.031	89.478
850.508	207.211
852.391	637.645
0.942	637.645
1.884	103.606
124.327	82.884
264.665	105.489
405.004	108.315
582.075	89.478
687.564	87.594

vaso
X (um)	Y (um)
248	117.778
242.667	125.333
234.667	132
231.111	141.778
234.222	148.444
242.222	147.556
248.889	135.556
261.778	124.889

vaso
X (um)	Y (um)
257.333	115.111
267.111	150.222
261.778	154.667
265.333	168.444
274.222	161.333
280	149.778
278.667	140.889

vaso
X (um)	Y (um)	
270.222	138.667
442.222	171.556
437.333	182.222
446.667	182.667
456	172.444
449.333	165.333

vaso
X (um)	Y (um)	
206.667	132
189.333	133.333
187.556	147.556
199.556	152
207.111	144.889

vaso
X (um)	Y (um)	
113.333	203.556
108	200.444
100.444	204
104.889	216.889
112.444	214.222

vaso
X (um)	Y (um)	
181.333	247.556
175.111	246.222
170.667	251.556
174.667	257.778
181.778	254.667
288	237.778
287.556	250.222
297.778	254.667
306.222	240.889
297.333	235.111

vaso
X (um)	Y (um)	
148.889	160.444
138.222	156
125.333	167.556
134.222	182.222
145.333	178.667
148.889	169.333

vaso
X (um)	Y (um)	
271.556	198.667
261.778	199.111
260.444	210.222
274.222	210.667
278.222	204.444

vaso
X (um)	Y (um)	
415.111	134.222
402.222	141.333
393.333	146.222
393.333	155.111
410.667	150.222
418.667	140.889

vaso
X (um)	Y (um)	
35.556	248.778
28.444	243.889
14.667	249.222
16.889	262.556
24	263.889
36	260.333

vaso
X (um)	Y (um)	
95.556	114.111
87.556	115
84.444	123.444
93.333	126.556
98.222	121.667

vaso
X (um)	Y (um)	
148	271.444
140	272.333
141.333	280.333
148.444	280.778
153.333	277.222

vaso
X (um)	Y (um)	
43.111	122.111
28	128.778
29.333	138.111
41.333	138.556
50.222	134.556

vaso
X (um)	Y (um)	
51.111	127.444
133.333	377.778
111.556	383.556
103.111	400.444
112.444	401.778
131.556	392.444

vaso
X (um)	Y (um)	
72	364.333
62.667	366.111
60.889	376.333
68	377.222
73.778	372.333

vaso
X (um)	Y (um)	
48.444	492.667
35.556	494
37.333	508.667
43.111	510
50.222	504.667

vaso
X (um)	Y (um)	
118.222	572.667
100.889	574.889
100	587.778
106.222	593.556
117.778	582.889

vaso
X (um)	Y (um)	
196	614.889
191.111	617.556
187.111	625.111
193.333	632.667
200	627.333

vaso
X (um)	Y (um)	
250.222	535.333
238.222	533.111
226.667	547.778
237.778	550.889
247.556	547.778

vaso
X (um)	Y (um)	
262.222	472.222
254.222	472.222
253.778	482.444
260.889	486.444
264	479.333

vaso
X (um)	Y (um)	
302.222	426.444
288	435.333
284.444	446.444
292.444	456.222
304.444	457.111
309.333	446.444
314.667	436.667
313.333	429.556

vaso
X (um)	Y (um)	
376.889	448.222
362.667	443.333
347.556	458.889
356	476.667
372.444	470
380.889	462

vaso
X (um)	Y (um)	
316.444	498
307.111	495.778
296	503.333
305.333	513.556
314.222	504.667

vaso
X (um)	Y (um)	
380.889	598.889
369.778	597.556
368.444	612.222
376	609.111
383.111	608.222

vaso
X (um)	Y (um)	
440.333	602.444
434.556	609.111
416.778	610.889
407	615.333
415	625.111
427.889	622.444
444.778	620.222
447	610

vaso
X (um)	Y (um)	
488.778	589.111
477.222	600.222
466.111	603.778
458.556	612.667
466.111	614.444
476.333	614
484.333	607.333
492.778	603.333
495	591.333

vaso
X (um)	Y (um)	
559.889	453.556
544.333	458
547.444	466.889
557.667	470
567.444	466.889
571.444	458.889

vaso
X (um)	Y (um)	
439	412.667
433.222	417.556
439.889	423.778
455	422.444
470.111	421.556
479	407.778
479	395.333
468.778	393.556
461.222	401.111
455.444	408.222

vaso
X (um)	Y (um)	
396.778	304.667
380.778	305.111
372.778	314.889
379.889	330
394.556	325.556
401.667	316.222

vaso
X (um)	Y (um)	
671	284.222
665.222	280.667
655	282.889
656.333	288.667
661.222	292.222
665.667	290.889

vaso
X (um)	Y (um)	
576.778	106
576.778	114
583	122
591	124.222
603	123.333
613.667	115.778
614.111	107.778
607.889	101.556
596.778	101.111
588.333	102

vaso
X (um)	Y (um)	
486.556	139.778
481.222	133.111
470.556	134.889
465.667	141.111
470.111	143.778
477.222	145.556

vaso
X (um)	Y (um)	
616.333	148.222
604.778	150.444
601.667	162.889
613.667	162.889
620.778	156.667

vaso
X (um)	Y (um)	
817.778	121.778
804	124.444
795.556	133.333
793.333	138.667
806.222	138.667
817.778	135.111
823.111	129.778
822.222	124.444

vaso
X (um)	Y (um)	
765.333	161.778
777.333	159.111
773.333	153.333
768.889	151.556
764.444	154.222

vaso
X (um)	Y (um)	
784	207.556
776	204
761.778	208
761.333	213.333
768	224.444
777.333	227.556
786.222	223.111
788	215.111

vaso
X (um)	Y (um)	
768	287
756.444	284.778
748	298.556
751.111	312.333
764	306.556
770.222	297.222

vaso
X (um)	Y (um)	
627.556	328
617.778	330.667
616	337.333
627.111	341.778
632	335.556

vaso
X (um)	Y (um)	
640.444	352.444
635.111	354.222
638.222	364.889
643.111	359.111
649.333	355.111

vaso
X (um)	Y (um)	
556.444	387.667
548.444	392.556
551.111	397.889
557.778	395.222
562.222	391.222

vaso
X (um)	Y (um)	
670.667	391.667
660.889	386.778
659.111	397.444
664.444	398.778
671.556	397.889

vaso
X (um)	Y (um)	
799.111	396.111
792.889	391.222
788.889	401.889
796.444	407.222
801.333	403.222

vaso
X (um)	Y (um)	
748	424.556
755.556	414.333
747.556	409
737.778	417
718.222	421.889
700.889	424.111
685.778	434.333
692	446.778
703.556	443.222
716.889	437
724.444	435.222
735.111	426.778

vaso
X (um)	Y (um)	
